teamname,goalnetstanchioncolor2r,hastifo,stadiumgoalnetstyle,utcoffset,teamcolor1b,crowdregion,gender,captainid,popularity,iscompetitioncrowdcardsenabled,numtransfersin,teamcolor3b,matchdaymidfieldrating,youthdevelopment,personalityid,pitchlinecolor,crowdskintonecode,teamcolor2r,stadiumgoalnetpattern,freekicktakerid,genericint2,opponentstrongthreshold,powid,hasstandingcrowd,longitude,genericint1,teamcolor3g,goalnetstanchioncolor1g,teamcolor2b,favoriteteamsheetid,clubworth,haslargeflag,midfieldrating,trait1vequal,presassetone,teamstadiumcapacity,goalnetstanchioncolor1b,teamcolor3r,rightfreekicktakerid,attackrating,overallrating,presassettwo,opponentweakthreshold,teamcolor1g,throwerright,hasvikingclap,iscompetitionscarfenabled,goalnetstanchioncolor1r,leftfreekicktakerid,longkicktakerid,trainingstadium,skinnyflags,stanchionflamethrower,cksupport6,prev_el_champ,uefa_consecutive_wins,ethnicity,trait1vstrong,defenserating,leaguetitles,cksupport2,stadiummowpattern_code,iscompetitionpoleflagenabled,internationalprestige,rivalteam,rightcornerkicktakerid,cksupport9,goalnetstanchioncolor2b,cksupport8,uefa_cl_wins,penaltytakerid,profitability,uefa_uecl_wins,genericbanner,matchdayattackrating,hassubstitutionboard,pitchwear,trait1vweak,teamcolor1r,pitchcolor,teamid,buildupplay,cksupport5,defensivedepth,cksupport3,goalnetstanchioncolor2g,cityid,cksupport4,domesticprestige,flamethrowercannon,ballid,form,teamcolor2g,cksupport7,latitude,matchdayoverallrating,hassuncanthem,cksupport1,cornerflagpolecolor,isbannerenabled,playsurfacetype,throwerleft,leftcornerkicktakerid,foundationyear,assetid,uefa_el_wins,matchdaydefenserating,jerseytype,domesticcups
América de Cali,30,0,0,-5,30,1,0,214366,6,1,0,30,70,4,0,0,7,255,0,214366,-1,1,-1,1,-76,70,26,112,255,-1,35500,0,70,525384,0,36000,30,210,214366,71,70,1,1,26,260481,0,0,30,214366,214366,316,1,0,260481,0,0,4,532552,69,15,210463,3,1,5,101100,214366,76524,30,210463,0,214366,7,0,0,71,0,0,263240,210,4,101099,1,278785,30,260481,112,91,76524,8,0,184,0,255,237982,3,70,0,237982,0,1,0,260481,214366,1927,101099,0,69,2,0
Junior,1,0,0,-5,34,1,0,196150,5,1,0,34,70,4,0,0,7,255,1,274547,-1,1,-1,1,-74,70,30,1,255,-1,41500,0,70,139520,0,46692,1,224,274547,72,70,1,1,30,196150,0,0,1,274547,274547,316,1,0,196150,0,0,3,4198656,69,10,241601,1,1,5,101100,274547,241601,1,246081,0,196150,9,0,0,72,0,0,139520,224,4,101101,2,232195,65,196150,1,40,245378,8,0,111,0,255,274547,10,70,0,246081,0,1,0,196150,274547,1924,101101,0,69,2,2
Indep. Medellín,30,0,0,-5,18,1,0,276556,6,1,0,7,69,5,1,0,7,46,0,254111,-1,1,-1,1,-75,70,6,112,171,-1,32000,0,69,4195648,0,44739,30,226,276556,71,70,1,1,6,254111,0,0,30,254111,226747,316,1,0,254111,0,0,2,270656,70,6,214343,3,1,5,101100,276556,214343,30,214040,0,222585,8,0,0,71,0,0,4195648,226,0,101103,1,243188,50,222585,112,310,226747,7,0,111,0,96,222585,6,70,0,214040,0,1,0,254111,254111,1913,101103,0,70,1,3
Indep. Santa Fe,30,0,0,-5,38,1,0,168565,5,0,0,38,70,6,0,0,7,250,0,168565,-1,1,-1,1,-74,70,30,30,250,-1,25500,0,70,4202501,0,36343,30,228,168565,73,70,0,1,30,168565,0,0,30,168565,233924,316,1,0,168565,0,0,4,266245,69,9,76403,3,1,5,101105,233924,76403,30,241990,0,168565,7,0,0,73,0,0,4202501,228,4,101104,2,214332,50,168565,30,59,247563,7,0,111,0,250,233924,4,70,0,241990,0,1,0,168565,233924,1941,101104,1,69,2,2
Millonarios,1,0,0,-5,144,1,0,214378,6,1,0,1,70,6,1,0,7,255,0,214378,-1,1,-1,1,-74,70,1,1,255,-1,44500,0,70,4195457,0,36343,1,1,214378,71,70,1,1,68,215112,0,1,1,214378,214378,316,1,0,215112,0,0,4,270465,68,16,245908,1,1,5,101104,214378,245908,1,214378,0,231862,9,0,0,71,0,0,4195457,39,0,101105,1,84447,50,215112,1,59,214414,9,0,111,0,255,231862,4,70,0,231862,0,1,0,215112,214378,1946,101105,0,68,2,3
Olimpia,248,0,0,-4,255,1,0,216385,7,1,0,255,70,5,0,0,7,36,1,248872,-1,1,-1,1,-57,70,255,249,42,-1,40000,0,70,132096,0,22000,249,255,248872,70,70,0,1,255,270058,0,0,248,248872,248872,316,1,0,270058,0,0,4,4202496,69,48,271071,0,0,7,112716,248872,273992,249,248872,3,270058,8,0,0,70,0,0,132096,255,4,101108,1,253233,65,270058,249,771,216385,9,0,184,0,40,275178,-25,70,0,273992,0,1,0,270058,275178,1902,101108,0,69,2,1
Peñarol,248,0,18,-3,30,1,0,252935,7,1,0,30,72,8,0,0,7,253,0,252935,-1,2,-1,1,-56,72,30,249,1,-1,43200,0,72,4202512,0,40700,249,30,252935,73,72,1,2,30,254653,0,1,248,274046,252935,316,1,0,254653,0,0,4,266256,70,52,277517,3,1,8,111325,252935,277517,249,237512,5,252935,9,0,0,73,0,0,4202512,30,4,101110,2,253275,50,254653,249,795,228838,10,0,184,0,202,252935,-34,72,0,237512,0,1,0,254653,252935,1891,101110,0,70,2,1
Whitecaps FC,1,1,0,-8,255,6,0,189596,6,0,0,255,73,5,0,0,2,0,0,255205,-1,1,-1,0,-123,71,200,1,88,-1,173500,0,73,66628,0,22120,1,150,255205,73,71,0,1,255,243456,0,1,1,255205,255205,316,0,0,243456,0,0,2,139332,67,0,259543,15,1,2,111144,255205,241002,1,259543,0,243456,5,0,0,73,0,0,66628,255,6,101112,1,222429,90,243456,1,508,241002,4,4,134,0,34,189596,49,71,0,189596,0,1,2,243456,255205,1986,101112,0,67,1,0
Bosnia-Herzegov,255,0,0,1,161,4,0,206254,0,0,0,152,70,0,0,0,2,255,0,269823,-1,2,-1,1,18,73,75,255,51,-1,0,0,70,528384,0,15292,255,2,206254,76,73,0,2,79,257345,0,1,255,206254,75533,316,0,0,262027,0,0,2,526336,75,0,262027,0,0,3,1328,206254,236524,255,242350,0,212002,0,0,0,76,0,0,270336,2,4,105013,3,84041,30,236524,255,0,75533,10,0,6,0,255,257345,44,73,0,212002,0,1,0,244940,242350,1991,105013,0,75,2,0
Netherlands,35,0,0,1,23,4,0,203376,0,0,0,34,83,0,0,0,2,255,0,240638,-1,3,-1,0,4,82,124,66,255,-1,0,0,83,4194944,0,55885,66,244,240638,80,82,0,3,87,242516,0,1,35,240638,242516,316,0,0,242516,0,0,1,270464,83,0,258437,1,1,8,1337,240638,240638,66,246104,0,242516,0,0,0,80,0,0,131712,248,4,105035,1,246104,50,242516,66,0,208461,10,4,88,0,255,253149,52,82,0,203376,0,1,0,242516,240638,1889,105035,0,83,2,0
Girona FC,1,0,0,1,0,4,0,260815,3,1,0,0,77,3,0,0,2,255,0,244369,-1,2,-1,2,2,77,0,1,255,-1,8000,0,77,4202624,0,14642,1,180,244369,76,77,0,2,0,271541,0,2,1,255125,244369,316,0,0,271541,0,0,4,266368,76,0,246785,1,2,1,452,244369,244369,1,246785,0,271541,9,0,0,76,0,0,132224,201,4,110062,2,235997,50,271541,1,185,177413,1,0,41,0,255,255125,41,77,0,255125,10,1,0,271541,244369,1930,110062,0,76,2,0
CD Mirandés,110,0,0,1,0,4,0,214639,3,0,0,8,66,2,0,0,2,1,0,275333,-1,1,-1,2,-2,67,8,110,1,-1,2500,0,66,532736,0,6900,110,12,275333,67,67,0,1,0,275333,1,2,110,275333,275333,316,0,0,275333,0,0,2,528640,66,0,71972,1,0,1,10846,264347,275248,110,71972,0,221014,6,0,0,67,0,0,270592,200,4,110069,2,278126,30,275333,110,318,275248,3,0,69,0,1,221014,42,67,0,221014,0,1,0,275333,264347,1927,110069,0,66,2,0
SC Oțelul Galați,255,0,0,2,255,5,0,257374,2,0,0,156,65,3,1,0,2,227,0,270957,-1,1,-1,1,28,65,83,255,50,-1,4540,0,65,525440,0,13500,255,0,270957,64,65,0,1,255,251779,0,1,255,270957,270957,316,0,0,251779,0,0,1,532608,65,1,70268,0,1,1,310,270957,70268,255,270957,0,238895,7,0,0,64,0,1,263296,255,4,110072,1,70298,30,251779,255,933,246674,5,0,79,0,23,224538,45,65,0,224538,0,1,0,251779,270957,1964,110072,0,65,2,0
Farul Constanța,40,0,0,2,180,5,0,247963,3,0,0,250,66,10,1,0,2,30,1,239116,-1,1,-1,1,28,66,250,50,30,-1,6405,0,66,132480,0,4554,130,250,239116,66,65,0,1,90,276744,0,1,40,239116,239116,316,0,0,276744,0,0,3,4202880,65,2,79147,1,1,1,310,239116,239116,130,267993,0,247963,4,0,0,66,0,0,132480,30,4,110075,1,244984,65,276744,50,871,266792,6,0,79,0,30,257765,44,65,0,257765,0,1,0,276744,267993,1920,110075,0,65,2,1
FC Petrolul,30,0,0,2,50,5,0,220177,2,0,0,30,64,7,0,0,2,30,0,70958,-1,1,-1,1,26,65,30,30,204,-1,4190,0,64,270400,0,15073,30,30,70958,66,65,0,1,215,220177,0,1,30,70958,70958,316,0,0,220177,0,0,2,528448,65,4,271172,1,1,1,310,70958,70958,30,271172,0,73404,5,0,0,66,0,0,4202560,230,4,110078,2,279210,50,220177,30,904,240812,4,0,79,0,30,73404,44,65,0,73404,0,1,0,220177,70958,1924,110078,0,65,1,3
Northern Ireland,20,0,0,0,50,3,0,276695,0,0,0,55,70,0,0,0,2,255,0,73895,-1,1,-1,0,-5,71,150,110,255,-1,0,0,70,532808,0,18000,70,24,276695,66,71,0,1,132,276070,0,0,20,276695,276695,316,0,0,239540,0,0,1,528712,71,0,239540,1,0,2,1355,276695,276695,70,243520,0,205255,0,0,0,66,0,0,270664,37,4,110081,2,241075,30,205255,110,0,243520,10,0,88,0,255,276070,54,71,0,242541,0,1,0,231292,276695,1880,110081,0,71,2,0
Independiente,255,0,0,-3,26,1,0,215069,7,2,0,255,70,6,0,0,7,206,1,226797,-1,1,-1,1,-58,71,255,255,26,-1,145000,0,70,4202772,0,42069,255,255,255925,71,71,1,1,1,226286,0,0,255,226797,226797,316,1,0,226286,0,0,4,266516,72,16,255925,1,1,6,101085,226797,255925,255,272939,7,226286,1,0,0,71,0,0,4202772,206,5,110093,2,215057,50,226286,255,30,81743,8,0,190,0,1,226797,-34,71,0,272939,0,1,0,226286,226797,1905,110093,2,72,1,0
SSV Ulm 1846,255,0,0,1,1,4,0,243801,4,0,0,1,65,4,0,0,2,255,0,243801,-1,1,-1,1,10,65,1,255,255,-1,4900,0,65,270400,0,19500,255,1,252263,62,65,0,1,1,238694,0,1,255,243801,276365,316,0,0,238694,0,0,2,528448,64,0,219449,3,1,1,543,276365,219449,255,276365,0,246416,2,0,0,62,0,2,4202560,1,3,110176,2,239181,50,238694,255,931,224430,8,0,91,0,255,246416,48,65,0,246416,0,1,0,238694,252263,1970,110176,0,64,2,0
GKS Katowice,30,0,0,1,0,5,0,244160,2,0,0,30,67,6,0,0,2,255,0,235471,-1,1,-1,1,19,67,30,30,0,-1,8868,0,67,66624,0,15048,30,30,235471,66,67,0,1,128,235471,0,1,30,235471,235471,316,0,0,235471,0,0,1,139328,67,0,233470,1,1,1,420,235471,233470,30,194769,0,244160,5,0,0,66,0,0,66624,0,4,110206,1,275233,90,239627,30,958,244167,5,0,93,0,255,239627,50,67,0,194769,0,1,0,235471,235471,1964,110206,0,67,2,3
Accrington,1,0,1,0,36,3,0,167512,1,0,0,36,60,7,0,0,2,255,0,77295,-1,1,-1,0,-2,60,18,1,255,-1,2500,0,60,264264,0,5057,1,240,77295,60,60,0,1,18,167512,0,0,1,77295,77295,316,0,0,167512,0,0,2,526408,60,0,78115,1,1,1,112260,77295,80058,1,78115,0,189808,2,0,0,60,0,0,4198472,199,4,110313,3,238410,50,167512,1,4,80058,4,0,55,0,255,189808,53,60,0,189808,0,2,0,167512,77295,1968,110313,0,60,2,0
Pau FC,1,0,38,1,87,4,0,234814,1,0,0,97,66,2,0,0,2,1,0,240069,-1,1,-1,1,0,65,217,1,179,-1,17000,0,66,264448,0,4031,1,247,240069,65,65,0,1,217,278996,0,0,1,240069,74445,316,0,0,278996,0,0,3,526592,64,0,244736,3,0,1,1809,79624,74445,1,240069,0,240069,2,0,0,65,0,0,4198656,246,4,110321,3,234814,50,278996,1,816,74442,3,0,51,0,113,79624,43,65,0,240069,0,1,0,278996,74445,1995,110321,0,64,2,0
FC St. Pauli,205,0,0,1,52,4,0,211378,10,1,0,26,72,4,0,0,2,255,1,222369,-1,2,-1,1,9,72,1,205,255,-1,66243,0,72,69632,0,29546,205,226,222369,71,72,0,2,71,261766,0,1,205,222369,222369,316,0,0,261766,0,0,3,133120,72,0,258626,1,1,2,28,257886,257886,205,258626,0,222369,3,0,0,71,1,0,73728,96,4,110329,3,211378,90,261766,205,205,260464,3,0,25,0,255,233061,53,72,0,233061,0,1,0,261766,222369,1910,110329,0,72,1,0
Fiorentina,57,0,39,1,142,4,0,193080,6,1,0,38,75,7,1,0,2,250,0,260823,-1,2,-1,1,11,76,43,8,250,-1,417300,0,75,4202760,0,43147,142,217,225439,77,76,0,2,8,238004,0,1,57,260823,225439,316,0,0,238004,0,0,2,266504,75,2,232080,1,1,5,45,225439,276682,142,232080,0,236610,6,0,0,77,0,0,132360,57,4,110374,2,223697,50,238004,8,162,276682,6,0,47,0,250,236610,43,76,0,236610,0,1,0,238004,260823,1926,110374,0,75,2,6
Lanús,255,0,0,-3,52,1,0,214766,4,2,0,255,72,8,0,0,7,117,0,235467,-1,2,-1,1,-58,72,255,255,52,-1,45000,0,72,525320,0,47027,255,255,235467,71,72,1,2,40,224510,0,0,255,235467,235467,316,1,0,224510,0,0,2,532488,70,2,190972,1,1,6,110404,235467,190972,255,219174,0,235467,7,0,0,71,0,0,263176,117,4,110395,1,74824,30,224510,255,262,236472,5,0,190,0,40,235467,-34,72,0,219174,0,1,0,224510,235467,1915,110395,1,70,2,0
Newell's,255,0,0,-3,1,1,0,223249,7,2,0,2,65,8,0,0,7,225,0,271767,-1,1,-1,1,-60,68,2,255,21,-1,24000,0,65,4202520,0,42000,255,2,271767,69,68,1,1,1,198628,0,0,255,271767,253294,316,1,0,198628,0,0,3,266264,66,6,77578,3,1,3,110580,271767,253294,255,77578,0,198628,4,0,0,69,0,0,4202520,1,4,110396,2,258051,50,198628,255,409,253294,6,0,190,0,11,70198,-32,68,0,70198,0,1,0,198628,271767,1903,110396,0,66,1,0
Banfield,255,0,0,-3,51,1,0,219167,3,2,0,13,67,6,0,0,7,255,0,259883,-1,1,-1,1,-58,68,97,255,255,-1,15300,0,67,4202824,0,34901,255,210,259883,68,68,1,1,153,259883,0,0,255,259883,219167,316,1,0,259883,0,0,5,266568,67,1,75347,3,1,1,110395,259883,75347,255,76995,0,259883,4,0,0,68,0,0,4202824,1,4,110404,2,278470,50,261160,255,35,254951,4,0,190,0,255,261160,-34,68,0,76995,0,1,0,259883,259883,1896,110404,0,67,1,0
Viktoria Plzeň,120,0,0,1,35,5,0,198331,4,0,0,35,72,4,0,0,2,59,1,79948,-1,2,-1,1,13,72,30,120,168,-1,40000,0,72,73792,0,11700,120,223,79948,71,72,0,2,30,74753,0,1,120,79948,79948,316,0,0,74753,0,0,2,135232,72,6,257306,1,1,3,266,79948,257306,120,79948,0,198331,5,0,0,71,0,0,73792,223,4,110468,2,71259,90,74753,120,699,244796,9,0,88,0,94,198331,49,72,0,198331,0,1,0,74753,79948,1911,110468,0,72,2,1
Braunschweig,40,0,38,1,173,4,0,241859,6,1,0,15,67,4,0,0,2,255,0,73008,-1,1,-1,1,10,67,1,220,1,-1,10520,0,67,270342,0,23325,30,225,73008,67,67,0,1,98,252846,0,1,240,73008,73008,316,0,0,252846,0,0,2,528390,67,1,241085,1,1,1,485,73008,269604,177,241085,0,252846,4,0,0,67,0,2,4202502,1,4,110500,2,248576,50,252846,93,68,269604,2,4,27,0,204,263153,52,67,0,263153,0,1,0,252846,73008,1895,110500,0,67,2,0
SC Verl,255,0,0,1,254,4,0,229175,2,0,0,240,65,6,0,0,2,1,0,240329,-1,1,-1,1,8,65,240,185,1,-1,2450,0,65,132224,0,5207,185,240,240329,62,65,0,1,254,274993,0,1,185,240329,240329,316,0,0,274993,0,0,2,4202624,64,0,269863,1,1,1,487,240329,269863,255,240329,0,240329,1,0,0,62,0,0,132224,254,4,110501,1,257183,65,274993,255,820,244076,3,0,91,0,1,255540,51,65,0,255540,0,1,0,274993,240329,1924,110501,0,64,2,0
SV Darmstadt 98,180,0,3,1,158,4,0,209987,6,1,0,91,70,2,1,0,2,255,0,251287,-1,1,-1,1,8,70,32,50,255,-1,34100,0,70,132096,0,17810,255,1,245287,72,70,0,1,78,242965,0,1,50,251287,251287,316,0,0,242965,0,0,2,4202496,69,0,240156,3,1,1,1824,251287,238068,180,240156,0,228859,5,0,0,72,0,0,132096,1,3,110502,1,251373,65,242965,180,132,238068,6,0,27,0,255,228859,49,70,0,228859,0,1,0,242965,245287,1898,110502,0,69,1,0
SV Waldhof,180,0,26,1,146,4,0,229487,6,1,0,255,63,6,0,0,2,1,0,229354,-1,1,-1,1,8,64,255,10,1,-1,3780,0,63,264272,0,25721,10,255,229354,65,64,0,1,66,212248,0,1,10,229354,229354,316,0,0,212248,0,0,1,526416,64,0,275279,0,1,1,29,229354,275279,180,83467,0,229354,1,0,0,65,0,3,4198480,1,4,110532,3,80012,50,212248,180,735,73169,5,0,91,0,1,229354,49,64,0,83467,0,1,0,212248,229354,1907,110532,0,64,2,0
Genoa,39,0,0,1,7,4,0,244349,5,1,0,250,72,6,1,0,2,20,0,236295,-1,2,-1,1,8,73,250,79,78,-1,256200,0,72,532485,0,36599,101,250,236295,73,73,0,2,2,263829,0,1,39,236295,236295,316,0,0,263829,0,0,1,528389,73,9,264436,1,1,3,1837,236295,242633,101,264436,0,256899,5,0,0,73,0,0,270341,197,4,110556,2,79913,30,263829,79,180,242633,4,0,47,0,33,256899,44,73,0,256899,0,1,0,263829,236295,1893,110556,0,73,2,1
Rosario Central,255,0,27,-3,118,1,0,183898,6,2,0,118,74,8,0,0,7,249,0,183898,-1,2,-1,1,-60,73,41,255,1,-1,30000,0,74,132232,0,39657,255,2,183898,72,73,1,2,41,269176,0,0,255,238230,183898,316,1,0,269176,0,0,5,4202632,70,4,260138,0,1,4,110396,183898,260138,255,238230,0,183898,5,0,0,72,0,0,132232,2,4,110580,1,254695,65,269176,255,409,256441,5,0,190,0,200,183898,-32,73,0,238230,0,1,0,269176,183898,1889,110580,0,70,2,1
1. FC Magdeburg,210,0,0,1,176,4,0,228607,6,1,0,255,68,4,0,0,2,1,0,233520,-1,1,-1,1,11,68,255,210,116,-1,14730,0,68,132112,0,22000,210,255,243949,70,68,0,1,105,252014,0,1,210,243949,243949,316,0,0,228757,0,0,3,4202512,68,0,264215,1,1,1,503,250947,264215,210,250947,0,243949,5,0,0,70,0,2,132112,1,4,110588,1,237155,65,243949,210,612,270901,4,0,27,0,60,243949,52,68,0,250947,0,1,0,246959,250947,1965,110588,0,68,2,0
Düsseldorf,1,0,1,1,19,4,0,251292,5,3,0,35,69,4,1,0,2,255,0,239696,-1,1,-1,1,6,69,22,1,255,-1,59300,0,69,4202564,0,54600,1,210,239696,70,69,0,1,6,233139,0,1,1,239696,239696,316,0,0,233139,0,0,3,266308,68,1,231353,1,1,1,31,239696,231353,1,239696,0,233139,3,0,0,70,0,0,4202564,227,4,110636,2,276632,50,233139,1,147,259559,8,0,27,0,255,252903,51,69,0,252903,0,1,0,233139,239696,1895,110636,0,68,2,2
Viktoria Köln,180,0,0,1,50,4,0,241995,2,1,0,255,64,4,0,0,2,1,0,234836,-1,1,-1,1,7,64,255,180,1,-1,4400,0,64,132096,0,10001,180,255,234836,62,64,0,1,40,79321,0,1,180,234836,234836,316,0,0,79321,0,0,2,4202496,64,0,259643,3,1,1,31,264380,216183,180,259643,0,242183,1,0,0,62,0,3,132096,255,4,110645,1,276271,65,79321,180,249,216183,6,0,91,0,1,242183,50,64,0,242183,0,1,0,79321,234836,2010,110645,0,64,2,0
TSV Havelse,235,0,0,1,26,4,0,225654,2,1,0,30,62,6,0,0,2,250,0,248174,-1,1,-1,1,9,62,16,235,250,-1,1550,0,62,532544,0,5001,235,205,248174,62,62,0,1,0,73172,0,1,235,248174,248174,316,0,0,73172,0,0,4,528448,62,0,225654,3,1,1,485,248174,248174,235,225654,0,244079,1,0,0,62,0,0,270400,226,4,110678,2,79080,30,73172,235,870,243212,1,0,91,0,250,79083,52,62,0,79083,0,1,0,73172,248174,1912,110678,0,62,2,0
TSG Hoffenheim II,255,0,0,1,166,4,0,78445,1,0,0,91,61,10,0,0,2,255,0,76062,-1,1,-1,1,8,60,48,255,255,-1,5000,0,61,132096,0,6350,255,1,76062,59,60,0,1,93,79102,0,1,255,76062,76062,316,0,0,79102,0,0,2,4202496,62,0,279489,3,1,1,110697,76062,279489,255,76062,0,76062,10,0,0,59,0,0,132096,31,4,110685,1,79101,65,79102,255,450,78446,1,4,91,0,255,263614,49,60,0,263614,0,1,0,79102,76062,1899,110685,0,62,2,0
VfB Stuttgart II,255,0,0,1,255,4,0,234416,2,0,0,1,61,10,0,0,2,211,0,279623,-1,1,-1,1,9,61,1,255,41,-1,5500,0,61,132096,0,10000,255,1,279623,62,61,0,1,255,275274,0,1,255,279623,279623,316,0,0,275274,0,0,2,4202496,62,0,274865,3,1,1,110176,279623,263404,255,274865,0,279623,10,0,0,62,0,0,132096,255,4,110697,1,245719,65,275274,255,466,263404,1,4,91,0,1,240891,48,61,0,240891,0,1,0,275274,279623,1893,110697,0,62,2,0
Real Sociedad B,255,0,0,1,125,4,0,77528,2,0,0,135,64,6,0,0,2,254,0,74088,-1,1,-1,2,-2,64,45,255,254,-1,3800,0,64,270336,0,2500,255,0,74088,64,64,0,1,35,80719,0,2,255,74088,74088,316,0,0,80719,0,0,3,528384,64,0,79189,1,2,1,467,74088,80720,255,79189,0,80719,3,0,0,64,0,0,4202496,0,4,110711,2,79187,50,80719,255,425,80720,1,0,69,0,254,80668,43,64,0,80668,0,1,0,80719,79186,1951,110711,0,64,2,0
Blau-Weiss Linz,160,0,0,1,255,4,0,233435,3,0,0,0,66,5,1,0,2,255,0,275634,-1,1,-1,1,14,67,0,160,255,-1,6500,0,66,270400,0,5595,160,0,275634,68,67,0,1,51,251412,0,1,160,275639,275634,316,0,0,251412,0,0,2,528448,65,0,221956,0,1,1,252,275634,221956,160,261180,0,226958,2,0,0,68,0,0,4202560,51,4,110720,2,239709,50,226958,160,639,275639,4,0,31,0,255,226958,48,67,0,261180,0,1,0,251412,251412,1938,110720,0,65,2,0
KV Mechelen,202,0,0,1,0,4,0,244224,4,1,0,1,69,5,1,0,2,235,1,227689,-1,1,-1,1,4,69,1,204,0,-1,30000,0,69,532610,0,16672,206,1,227689,70,69,1,1,232,227689,0,1,202,227689,227689,316,0,0,227689,0,0,1,528514,68,4,269159,1,1,4,100087,227689,269159,206,277072,0,227689,5,0,0,70,0,0,270466,255,4,110724,2,244224,30,200429,204,309,257174,5,0,122,0,13,200429,51,69,0,277072,0,1,0,227689,227689,1904,110724,0,68,1,2
Pisa,250,0,0,1,30,4,0,199174,1,2,0,250,72,6,0,0,2,1,0,270658,-1,2,-1,0,10,72,250,250,142,-1,97725,0,72,528512,0,9950,250,250,270658,70,72,0,2,30,255562,0,1,250,270658,270658,316,0,0,255562,0,0,2,526464,71,0,236898,3,1,1,1746,270658,71230,250,236898,0,222959,2,0,0,70,0,0,270464,30,4,110738,3,70471,30,255562,250,570,71230,1,0,47,0,69,222959,43,72,0,222959,0,1,0,255562,270658,1909,110738,0,71,2,0
Reggiana,30,0,0,1,1,4,0,230940,1,0,0,250,66,4,1,0,2,225,0,254804,-1,1,-1,1,10,67,250,30,35,-1,26250,0,66,270400,0,21525,30,250,254804,67,67,0,1,2,230940,0,1,30,254804,254804,316,0,0,230940,0,0,3,528448,66,0,276905,3,1,1,50,254804,259331,30,276905,0,276905,2,0,0,67,0,0,4202560,122,4,110740,2,252927,50,230940,30,935,259331,3,0,82,0,168,277030,44,67,0,277030,0,1,0,230940,254804,1919,110740,0,66,2,0
Jagiellonia,120,0,0,1,3,5,0,224336,3,1,0,45,69,6,0,0,2,251,1,255760,-1,1,-1,1,23,69,39,120,30,-1,15844,0,69,4195330,0,22372,120,224,255760,70,69,0,1,9,239267,0,1,120,224146,255760,316,0,0,239267,0,0,3,270338,69,1,235983,1,1,3,1871,255760,235983,120,233222,0,239267,5,0,0,70,0,0,4195330,240,4,110745,1,224336,50,239267,120,50,252859,8,0,93,0,222,224146,53,69,0,233222,0,1,0,239267,224146,1920,110745,0,69,1,1
Pogoń Szczecin,30,0,9,1,116,5,0,177922,3,0,0,1,68,7,1,0,2,128,1,177922,-1,1,-1,1,14,68,1,30,0,-1,13280,0,68,132240,0,20500,30,1,177922,68,68,0,1,0,80871,0,1,128,177922,177922,316,0,0,80871,0,0,1,4202640,67,0,253407,1,0,2,110747,177922,253407,120,194149,0,177922,5,0,0,68,0,0,132240,0,4,110746,1,213209,65,80871,30,473,252580,7,0,93,0,0,177922,53,68,0,194149,0,1,0,80871,177922,1948,110746,0,67,2,0
Cracovia,255,0,4,1,36,5,0,192955,4,0,0,60,68,5,0,0,2,255,0,254333,-1,1,-1,1,19,67,20,31,255,-1,11716,0,68,532550,0,15016,36,220,254333,67,67,0,1,31,248201,0,1,236,254333,254333,316,0,0,248201,0,0,1,528454,68,5,261298,1,1,2,110746,254333,261298,255,254333,0,254333,7,0,0,67,0,0,270406,236,4,110747,2,274369,30,248201,255,252,192955,8,0,93,0,255,274212,50,67,0,274212,0,1,0,248201,254333,1906,110747,0,68,2,1
Zagłębie Lubin,120,0,0,1,0,5,0,198046,2,0,0,1,65,7,1,0,2,255,1,198046,-1,1,-1,1,16,66,1,60,255,-1,9050,0,65,526416,0,16086,60,1,198046,66,66,0,1,82,260941,0,1,60,198046,198046,316,0,0,260941,0,0,2,526416,66,2,270542,3,0,1,1871,198046,270542,120,198046,0,260941,3,0,0,66,0,0,266320,253,4,110749,3,77296,30,260941,120,288,73903,2,0,93,0,255,75097,51,66,0,75097,0,1,0,260941,198046,1945,110749,0,66,2,0
UTA Arad,255,0,0,2,255,5,0,275225,2,0,0,30,65,7,0,0,2,255,0,275225,-1,1,-1,1,21,65,30,255,1,-1,3830,0,65,264210,0,12000,255,30,275225,65,65,0,1,255,72404,0,1,255,275225,275225,316,0,0,72404,0,0,2,526354,66,6,237666,3,1,1,310,275225,237666,255,266734,0,275225,5,0,0,65,0,0,4198418,255,4,110750,3,269424,50,72404,255,829,228715,4,0,79,0,1,275225,46,65,0,266734,0,1,0,72404,275225,1945,110750,0,66,2,2
FC Univ. Cluj,255,0,0,2,30,5,0,212048,2,0,0,65,67,5,0,0,2,255,0,212226,-1,1,-1,1,23,68,65,255,255,-1,7475,0,67,525312,0,30201,255,220,212226,70,68,0,1,30,75209,0,1,255,212226,212226,316,0,0,75209,0,0,3,532480,68,0,275739,1,1,2,114385,212048,260914,255,275739,0,212226,6,0,0,70,0,0,263168,30,4,110751,1,72695,30,75209,255,701,260914,7,0,79,0,255,212226,46,68,0,212226,0,1,0,75209,212048,1919,110751,0,68,2,1
